Gene	annotation	synonym
b0001	thr operon leader peptide	thrL
b0002	fused aspartate kinase/homoserine dehydrogenase 1	thrA
b0003	homoserine kinase	thrB
b0004	threonine synthase	thrC
b0005	DUF2502 domain-containing protein YaaX	yaaX
b0006	peroxide stress resistance protein YaaA	yaaA
b0007	putative transporter YaaJ	yaaJ
b0008	transaldolase B	talB
b0009	molybdopterin adenylyltransferase	mog
b0010	acetate/succinate:H(+) symporter	satP
b0011	putative enzyme-specific chaperone YaaW	yaaW
b0012	uncharacterized protein MbiA	mbiA
b0013	DUF2541 domain-containing protein YaaI	yaaI
b0014	chaperone protein DnaK	dnaK
b0015	chaperone protein DnaJ	dnaJ
b0016	IS186/IS421 transposase	insL-1
b4412	protein HokC	hokC
b0018	regulatory protein MokC	mokC
b0019	Na(+):H(+) antiporter NhaA	nhaA
b0020	DNA-binding transcriptional activator NhaR	nhaR
b0021	IS1 protein InsB	insB-1
b0022	IS1 protein InsA	insA-1
b0023	30S ribosomal subunit protein S20	rpsT
b0024	DUF2575 domain-containing protein YaaY	yaaY
b0025	bifunctional riboflavin kinase/FMN adenylyltransferase	ribF
b0026	isoleucine--tRNA ligase	ileS
b0027	lipoprotein signal peptidase	lspA
b0028	peptidyl-prolyl cis-trans isomerase FkpB	fkpB
b0029	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase	ispH
b0030	ribonucleoside hydrolase RihC	rihC
b0031	4-hydroxy-tetrahydrodipicolinate reductase	dapB
b0032	carbamoyl phosphate synthetase subunit alpha	carA
b0033	carbamoyl phosphate synthetase subunit beta	carB
b0034	DNA-binding transcriptional activator CaiF	caiF
b0035	putative transferase CaiE	caiE
b0036	crotonobetainyl-CoA hydratase	caiD
b0037	carnitine-CoA ligase	caiC
b0038	gamma-butyrobetainyl-CoA:carnitine CoA transferase	caiB
b0039	crotonobetainyl-CoA reductase	caiA
b0040	L-carnitine:gamma-butyrobetaine antiporter	caiT
b0041	putative electron transfer flavoprotein FixA	fixA
b0042	putative electron transfer flavoprotein FixB	fixB
b0043	putative oxidoreductase FixC	fixC
b0044	putative ferredoxin FixX	fixX
b0045	putative transporter YaaU	yaaU
b0046	regulator of KefC-mediated potassium transport and quinone oxidoreductase	kefF
b0047	K(+) : H(+) antiporter KefC	kefC
b0048	dihydrofolate reductase	folA
b0049	diadenosine tetraphosphatase	apaH
b0050	DUF525 domain-containing protein ApaG	apaG
b0051	16S rRNA m(6)2A1518%2Cm(6)2A1519 dimethyltransferase	rsmA
b0052	4-hydroxythreonine-4-phosphate dehydrogenase	pdxA
b0053	peptidyl-prolyl cis-trans isomerase SurA	surA
b0054	lipopolysaccharide assembly protein LptD	lptD
b0055	co-chaperone protein DjlA	djlA
b0056	putative uncharacterized protein YabP	yabP
b0057	protein YabQ	yabQ
b0058	23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase	rluA
b0059	RNA polymerase-binding ATPase and RNAP recycling factor	rapA
b0060	DNA polymerase II	polB
b0061	L-ribulose-5-phosphate 4-epimerase AraD	araD
b0062	L-arabinose isomerase	araA
b0063	ribulokinase	araB
b0064	DNA-binding transcriptional dual regulator AraC	araC
b0065	DedA family protein YabI	yabI
b0066	thiamine ABC transporter ATP binding subunit	thiQ
b0067	thiamine ABC transporter membrane subunit	thiP
b0068	thiamine ABC transporter periplasmic binding protein	thiB
b0069	DNA-binding transcriptional dual regulator SgrR	sgrR
b4662	putative inhibitor of the PtsG glucose transporter	sgrT
b0070	sugar exporter SetA	setA
b0071	3-isopropylmalate dehydratase subunit LeuD	leuD
b0072	3-isopropylmalate dehydratase subunit LeuC	leuC
b0073	3-isopropylmalate dehydrogenase	leuB
b0074	2-isopropylmalate synthase	leuA
b0075	leu operon leader peptide	leuL
b0076	DNA-binding transcriptional dual regulator LeuO	leuO
b4726	protein YabR	yabR
b0077	acetolactate synthase/acetohydroxybutanoate synthase%2C catalytic subunit	ilvI
b0078	acetolactate synthase/acetohydroxybutanoate synthase%2C regulatory subunit	ilvH
b0080	DNA-binding transcriptional dual regulator Cra	cra
b0081	DNA-binding transcriptional repressor MraZ	mraZ
b0082	16S rRNA m(4)C1402 methyltransferase	rsmH
b0083	cell division protein FtsL	ftsL
b0084	peptidoglycan DD-transpeptidase FtsI	ftsI
b0085	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase	murE
b0086	D-alanyl-D-alanine-adding enzyme	murF
b0087	phospho-N-acetylmuramoyl-pentapeptide-transferase	mraY
b0088	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	murD
b0089	putative lipid II flippase FtsW	ftsW
b0090	N-acetylglucosaminyl transferase	murG
b0091	UDP-N-acetylmuramate--L-alanine ligase	murC
b0092	D-alanine--D-alanine ligase B	ddlB
b0093	cell division protein FtsQ	ftsQ
b0094	cell division protein FtsA	ftsA
b0095	cell division protein FtsZ	ftsZ
b0096	UDP-3-O-acyl-N-acetylglucosamine deacetylase	lpxC
b0097	SecA translation regulator	secM
b0098	protein translocation ATPase	secA
b0099	8-oxo-dGTP diphosphatase	mutT
b0101	DNA gyrase inhibitor YacG	yacG
b0102	cell division factor ZapD	zapD
b0103	dephospho-CoA kinase	coaE
b4727	protein YacM	yacM
b0104	GMP reductase	guaC
b0106	inner membrane protein HofC	hofC
b0107	T2SSE family protein	hofB
b0108	prepilin peptidase-dependent protein	ppdD
b0109	quinolinate phosphoribosyltransferase (decarboxylating)	nadC
b0110	1%2C6-anhydro-N-acetylmuramoyl-L-alanine amidase	ampD
b0111	protein AmpE	ampE
b0112	aromatic amino acid:H(+) symporter AroP	aroP
b0113	DNA-binding transcriptional dual regulator PdhR	pdhR
b0114	pyruvate dehydrogenase E1 component	aceE
b0115	pyruvate dehydrogenase%2C E2 subunit	aceF
b0116	lipoamide dehydrogenase	lpd
b0117	DUF3300 domain-containing protein YacH	yacH
b0118	hypothetical protein	acnB
b0119	UPF0231 family protein YacL	yacL
b0120	S-adenosylmethionine decarboxylase proenzyme	speD
b0121	spermidine synthase	speE
b0122	putative lipoprotein YacC	yacC
b0123	cuprous oxidase/multicopper oxidase with role in copper homeostasis	cueO
b0124	quinoprotein glucose dehydrogenase	gcd
b0125	hypoxanthine phosphoribosyltransferase	hpt
b0126	carbonic anhydrase 2	can
b0127	putative ABC transporter ATP-binding protein YadG	yadG
b0128	putative ABC transporter membrane subunit YadH	yadH
b0129	putative PTS enzyme IIA component YadI	yadI
b0130	putative polysaccharide deacetylase lipoprotein	yadE
b0131	aspartate 1-decarboxylase proenzyme	panD
b0132	recombination-promoting nuclease RpnC	rpnC
b0133	pantothenate synthetase	panC
b0134	3-methyl-2-oxobutanoate hydroxymethyltransferase	panB
b0135	fimbrial tip-adhesin YadC	yadC
b0136	putative fimbrial protein YadK	yadK
b0137	putative fimbrial protein YadL	yadL
b0138	putative fimbrial protein YadM	yadM
b0139	putative fimbrial usher protein HtrE	htrE
b0140	putative fimbrial chaperone YadV	yadV
b0141	putative fimbrial protein YadN	yadN
b0142	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	folK
b0143	poly(A) polymerase I	pcnB
b0144	glutamyl-Q tRNA(Asp) synthetase	gluQ
b0145	RNA polymerase-binding transcription factor DksA	dksA
b0146	putative DNA-binding transcriptional regulator of maltose metabolism	sfsA
b0147	RNA 2'%2C3'-cyclic phosphodiesterase	thpR
b0148	putative ATP-dependent RNA helicase HrpB	hrpB
b0149	peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB	mrcB
b0150	ferrichrome outer membrane transporter/phage receptor	fhuA
b0151	iron(III) hydroxamate ABC transporter ATP binding subunit	fhuC
b0152	iron(III) hydroxamate ABC transporter periplasmic binding protein	fhuD
b0153	iron(III) hydroxamate ABC transporter membrane subunit	fhuB
b0154	glutamate-1-semialdehyde aminotransferase	hemL
b0155	chloride:H(+) antiporter ClcA	clcA
b4728	protein YadW	yadW
b0156	iron-sulfur cluster insertion protein ErpA	erpA
b0157	conserved inner membrane protein YadS	yadS
b0158	vitamin B12 ABC transporter periplasmic binding protein	btuF
b0159	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	mtn
b0160	dGTP triphosphohydrolase	dgt
b0161	periplasmic serine endoprotease DegP	degP
b0162	DNA-binding transcriptional activator CdaR	cdaR
b0163	DUF3461 domain-containing protein YaeH	yaeH
b0164	phosphodiesterase YaeI	yaeI
b0166	tetrahydrodipicolinate succinylase	dapD
b0167	PII uridylyltransferase/uridylyl removing enzyme	glnD
b0168	methionine aminopeptidase	map
b0169	30S ribosomal subunit protein S2	rpsB
b0170	protein chain elongation factor EF-Ts	tsf
b0171	UMP kinase	pyrH
b0172	ribosome-recycling factor	frr
b0173	1-deoxy-D-xylulose 5-phosphate reductoisomerase	dxr
b0174	undecaprenyl diphosphate synthase	ispU
b0175	CDP-diglyceride synthetase	cdsA
b0176	intramembrane zinc metalloprotease	rseP
b0177	outer membrane protein assembly factor BamA	bamA
b0178	periplasmic chaperone Skp	skp
b0179	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	lpxD
b0180	3-hydroxy-acyl-[acyl-carrier-protein] dehydratase	fabZ
b0181	UDP-N-acetylglucosamine acyltransferase	lpxA
b0182	lipid A disaccharide synthase	lpxB
b0183	RNase HII	rnhB
b0184	DNA polymerase III subunit alpha	dnaE
b0185	acetyl-CoA carboxyltransferase subunit alpha	accA
b0186	lysine decarboxylase 2	ldcC
b0187	VOC domain-containing protein YaeR	yaeR
b0188	tRNA(Ile)-lysidine synthetase	tilS
b0189	modulator of Rho-dependent transcription termination	rof
b4406	UPF0253 family protein YaeP	yaeP
b0190	uncharacterized protein YaeQ	yaeQ
b0191	peptidyl-tRNA hydrolase%2C ribosome rescue factor	arfB
b0192	lipoprotein NlpE	nlpE
b0193	peptidase C92 family protein	yaeF
b0194	proline--tRNA ligase	proS
b0195	tRNA m(6)t(6)A37 methyltransferase	trmO
b0196	outer membrane lipoprotein RcsF	rcsF
b0197	L-methionine/D-methionine ABC transporter membrane anchored binding protein	metQ
b0198	L-methionine/D-methionine ABC transporter membrane subunit	metI
b0199	L-methionine/D-methionine ABC transporter ATP binding subunit	metN
