source	target	score
2553	b3298	b3297	0.95505574038337
2554	b3296	b3297	0.970175700245198
3192	b3296	b3295	0.971597029976265
3195	b3297	b3295	0.980246364755083
5108	b3301	b3303	0.968785032278418
5750	b3315	b3316	0.978773764315478
7021	b3308	b3306	0.961160788743664
7025	b3320	b3306	0.964208433482091
7026	b3315	b3306	0.951494234795994
7027	b3303	b3306	0.952566628260106
7028	b3316	b3306	0.95592198547996
7660	b3301	b3300	0.951531151830576
8301	b3320	b3318	0.95729036019623
8302	b3315	b3318	0.974533853945601
8304	b3316	b3318	0.972431381129495
8306	b3306	b3318	0.953789701514642
8940	b3315	b3314	0.975323324912308
8942	b3316	b3314	0.974837214669502
9577	b3320	b3305	0.950501911811048
9579	b3303	b3305	0.96522558545841
9582	b3306	b3305	0.978807543013854
10213	b3297	b3294	0.954676358099024
10214	b3295	b3294	0.962362112273854
10853	b3320	b3317	0.971693220105364
10854	b3315	b3317	0.968837057877886
10856	b3316	b3317	0.976058666378838
10858	b3306	b3317	0.959980114288606
10860	b3318	b3317	0.967747582830458
10861	b3314	b3317	0.976449190859178
10862	b3305	b3317	0.954187035909271
11499	b3314	b3313	0.961679866023911
12130	b3315	b3304	0.956230885705945
12131	b3303	b3304	0.954420735772142
12132	b3316	b3304	0.952826212978504
12134	b3306	b3304	0.975383869068681
12137	b3314	b3304	0.95394221348051
12138	b3305	b3304	0.976685269221145
12140	b3317	b3304	0.952934570629856
12780	b3304	b3302	0.951612875045229
13405	b3320	b3319	0.988144442885525
13406	b3315	b3319	0.954291289967042
13408	b3316	b3319	0.961884615356276
13410	b3306	b3319	0.962942821386274
13412	b3318	b3319	0.963222417311005
13413	b3314	b3319	0.953780297311099
13414	b3305	b3319	0.955784973014866
13416	b3317	b3319	0.984532527152253
14697	b3984	b3983	0.952110799735598
15323	b3231	b2608	0.95101107896272
17251	b2608	b2609	0.950912209548945
17890	b4202	b4201	0.965853807631292
20443	b2096	b2095	0.961799902150953
22363	b2095	b2094	0.970407732709496
22364	b2093	b2094	0.954674297973381
24913	b3736	b3735	0.962867045099567
24919	b3734	b3735	0.960607579756869
25558	b3732	b3733	0.950320385652229
26835	b4015	b4014	0.952652999351843
28105	b2095	b2092	0.952319775110372
28108	b2094	b2092	0.961233130857445
28742	b3510	b3509	0.993331072361564
29392	b0114	b0115	0.953873984708117
31310	b0071	b0072	0.98523575290757
35776	b0071	b0073	0.970914047434336
35778	b0072	b0073	0.989767699909052
36416	b0072	b0074	0.951352595331052
36423	b0073	b0074	0.962442199516584
37059	b0729	b0728	0.97930535957268
37693	b2529	b2530	0.959206266756992
38977	b0728	b0727	0.959014553759639
39610	b3213	b3212	0.951448465198648
40865	b2095	b2091	0.956433709628016
40868	b2094	b2091	0.963098609027414
40877	b2092	b2091	0.965356711613897
42798	b1603	b1602	0.963121851452028
43451	b4245	b4244	0.982910559188329
44088	b1817	b1819	0.955659688472037
44726	b1817	b1818	0.973518815385705
44730	b1819	b1818	0.98206828111139
48561	b1003	b1004	0.960389171129572
49175	b3708	b3707	0.968973697062011
49838	b0724	b0723	0.981613709077229
50477	b0733	b0734	0.971210190283549
51093	b1973	b0296	0.965695090105174
51750	b2019	b2020	0.966689819876014
52380	b3994	b3993	0.973987957635204
53018	b3994	b3992	0.972003370777776
53037	b3993	b3992	0.990466019299188
53654	b0727	b0726	0.955463504209158
56186	b0014	b0473	0.963220976780712
58141	b3993	b3991	0.962860260824606
58142	b3992	b3991	0.981603853783814
58780	b3992	b3990	0.971516988418583
58788	b3991	b3990	0.985265042700557
59408	b0724	b0722	0.951697521281952
59413	b0723	b0722	0.969722378391127
60054	b2020	b2021	0.973466019077474
60059	b2022	b2021	0.979385691762077
60693	b3993	b4407	0.969896037420012
60694	b3992	b4407	0.959495374374596
61962	b3098	b3099	0.95201550108119
63832	b3510	b1493	0.950116134325115
63846	b3509	b1493	0.955816165472327
64494	b0990	b1375	0.958295527384315
65805	b1260	b1261	0.961675056065015
66382	b1557	b1552	0.9556003076193
68366	b2026	b2025	0.963676704820163
70267	b2022	b2023	0.98412914241473
70288	b2025	b2023	0.960144247225911
71512	b0990	b4723	0.984663853276498
71558	b1375	b4723	0.953338424151271
72155	b0573	b0574	0.988160582633162
73456	b2601	b2600	0.966184448814734
74747	b1493	b3517	0.994026988670919
75371	b2022	b2024	0.961654998866461
75384	b2026	b2024	0.952306651820123
75392	b2025	b2024	0.979740887618401
75395	b2023	b2024	0.989102352761103
75952	b1557	b2378	0.951674430769089
78584	b1247	b1246	0.978843321664084
79168	b0990	b4744	0.954157243316636
79214	b1375	b4744	0.977779469441275
79872	b1076	b1075	0.99536315031954
80509	b3960	b3959	0.953531497007737
83690	b4154	b4153	0.973326477659533
84338	b1076	b1074	0.991145143357868
84342	b1075	b1074	0.996252621369966
84886	b3510	b3511	0.964726330742083
84900	b3509	b3511	0.96696854167716
84955	b1493	b3511	0.951241520491725
85607	b3430	b3429	0.965663783820065
86259	b2464	b2465	0.983635520325406
86869	b1493	b1492	0.983326030729008
86886	b3517	b1492	0.968177403653934
89442	b1076	b1073	0.978080641066711
89446	b1075	b1073	0.989380241188398
89453	b1074	b1073	0.988806888062261
90065	b1244	b1245	0.957082737308485
90068	b1247	b1245	0.956118555380612
90082	b1246	b1245	0.977832986171181
91911	b4015	b4016	0.971900209820095
92632	b1076	b1922	0.958192965350187
92636	b1075	b1922	0.964226072080997
92643	b1074	b1922	0.960868832991959
92651	b1073	b1922	0.961120082388853
95166	b1261	b1262	0.954535709296607
97646	b3510	b3512	0.96022309287486
97660	b3509	b3512	0.964702930868178
98384	b4153	b4152	0.986941751753186
100305	b2281	b2278	0.958498360762943
101565	b2673	b2674	0.952313946606175
102233	b3454	b3455	0.970094872054677
105379	b3157	b3156	0.96641973358063
106693	b3923	b3922	0.968212992397799
107335	b4006	b4005	0.961561436067655
107961	b2281	b2280	0.957015225706244
108608	b0523	b0522	0.968776018940556
109842	b3926	b3927	0.984926871270198
110537	b2168	b2167	0.96505151266263
111042	b1557	b4724	0.952667955556339
111117	b1552	b4724	0.991656058830125
111125	b4723	b4724	0.95068615654759
112431	b1200	b1199	0.972803159199825
113016	b3687	b3686	0.961000185234731
114330	b0273	b4254	0.953490663727548
114928	b4571	b2032	0.952431919524247
116151	b1923	b1887	0.973623032987336
118170	b1684	b1683	0.952527802025353
118790	b1076	b1078	0.995256346909768
118794	b1075	b1078	0.987368885212317
118801	b1074	b1078	0.983146435234522
118809	b1073	b1078	0.966934517047279
118814	b1922	b1078	0.957600166013944
120768	b1683	b1681	0.97383561315939
121987	b2464	b1896	0.957247983207352
121994	b2465	b1896	0.958556256212706
122685	b3541	b3540	0.978165101532882
123266	b4153	b4151	0.973855121695654
123289	b4152	b4151	0.986474656114802
125147	b2425	b2424	0.950076470843097
125213	b2423	b2424	0.950316182359757
125870	b3117	b3116	0.994607130390582
126997	b1923	b1083	0.954592904122029
127126	b1071	b1083	0.977278838505147
127764	b1071	b1070	0.988784640327778
127800	b1083	b1070	0.978266415961095
128424	b1683	b1682	0.989170635122033
128428	b1681	b1682	0.980489985122929
130255	b2155	b0584	0.957183127488853
132225	b3939	b3940	0.959606393725525
132848	b0678	b0677	0.973684404140217
134767	b2038	b2037	0.950534217363811
135396	b1684	b1680	0.951197365056892
135442	b1683	b1680	0.955392162861889
135446	b1681	b1680	0.987847308359727
135458	b1682	b1680	0.959660697348627
136736	b2030	b0656	0.95410649210681
137308	b3771	b3772	0.952009308579995
138637	b3456	b3457	0.957372274572746
139206	b1076	b1077	0.994335498768539
139210	b1075	b1077	0.988643109284078
139217	b1074	b1077	0.983442400748737
139225	b1073	b1077	0.973745114424193
139230	b1922	b1077	0.957552283840499
139271	b1078	b1077	0.994169500834863
140536	b3600	b3599	0.970711944445584
141190	b1896	b1897	0.974508854349127
141840	b2030	b3505	0.973153887101289
141851	b0656	b3505	0.961881566770509
142478	b2030	b2192	0.976868293554731
142489	b0656	b2192	0.961865503759329
142497	b3505	b2192	0.989816978729373
143754	b2030	b3218	0.975590778609515
143765	b0656	b3218	0.96509495795239
143773	b3505	b3218	0.991215485263249
143774	b2192	b3218	0.991385427920631
144392	b2030	b0259	0.97399384493911
144403	b0656	b0259	0.964253421224174
144411	b3505	b0259	0.991426772824159
144412	b2192	b0259	0.991230879261271
144414	b3218	b0259	0.992198993525018
146300	b3116	b3113	0.96145367510617
148215	b2104	b2103	0.958802306542498
148838	b3117	b3114	0.96265632988043
148852	b3116	b3114	0.978860085076452
148884	b3113	b3114	0.993202261946972
149414	b1076	b1921	0.962831530070257
149418	b1075	b1921	0.962916269023039
149425	b1074	b1921	0.962037852820405
149438	b1922	b1921	0.984396886387519
149479	b1078	b1921	0.962349276048765
149511	b1077	b1921	0.955310135606006
150033	b2155	b0805	0.961044112782559
150730	b1189	b1190	0.987013950141806
151385	b1000	b0999	0.972134555440505
152033	b3541	b3542	0.96367585951837
152037	b3540	b3542	0.952226187356207
152702	b0595	b0597	0.97892799722756
153340	b0595	b0596	0.990981614892671
153360	b0597	b0596	0.986516311739695
155254	b0595	b0594	0.973109826930925
155274	b0597	b0594	0.968474704198984
155275	b0596	b0594	0.979550788348365
155836	b1071	b1082	0.973162324127722
155872	b1083	b1082	0.992883595429689
155873	b1070	b1082	0.976660527585982
156512	b1682	b1679	0.955882599538743
159088	b3218	b1994	0.956985392561504
159089	b0259	b1994	0.95507851647094
159683	b1887	b4355	0.95846259138193
160345	b2705	b2702	0.969068552263419
161657	b3786	b3787	0.956714271423569
162234	b0337	b0336	0.962689114331638
162725	b1923	b1886	0.978047066804546
162873	b1887	b1886	0.984002118023718
162941	b4355	b1886	0.956097535645326
163548	b0595	b0586	0.953576947859233
163569	b0596	b0586	0.962945863477749
164172	b2239	b2240	0.984709386595595
165291	b3708	b3709	0.985929867216818
165320	b3707	b3709	0.970125221814476
166097	b3616	b3617	0.967274976243141
167278	b1076	b1944	0.977002532233428
167282	b1075	b1944	0.980422202231
167289	b1074	b1944	0.982769414113399
167297	b1073	b1944	0.979753578197331
