Gene	seqnames	old_locus_tag	start	end	strand
b0001	thrL		190	255	+
b0002	thrA		337	2799	+
b0003	thrB		2801	3733	+
b0004	thrC		3734	5020	+
b0005	yaaX		5234	5530	+
b0006	yaaA		5683	6459	-
b0007	yaaJ		6529	7959	-
b0008	talB		8238	9191	+
b0009	mog		9306	9893	+
b0010	satP		9928	10494	-
b0011	yaaW		10643	11356	-
b0012	mbiA		10830	11315	+
b0013	yaaI		11382	11786	-
b0014	dnaK		12163	14079	+
b0015	dnaJ		14168	15298	+
b0016	insL-1		15445	16557	+
b4412	hokC		16751	16903	-
b0018	mokC		16751	16960	-
b0019	nhaA		17489	18655	+
b0020	nhaR		18715	19620	+
b0021	insB-1		19811	20314	-
b0022	insA-1		20233	20508	-
b0023	rpsT		20815	21078	-
b0024	yaaY		21181	21399	+
b0025	ribF		21407	22348	+
b0026	ileS		22391	25207	+
b0027	lspA		25207	25701	+
b0028	fkpB		25826	26275	+
b0029	ispH		26277	27227	+
b0030	rihC		27293	28207	+
b0031	dapB		28374	29195	+
b0032	carA		29651	30799	+
b0033	carB		30817	34038	+
b0034	caiF		34300	34695	+
b0035	caiE		34781	35371	-
b0036	caiD		35377	36162	-
b0037	caiC		36271	37824	-
b0038	caiB		37898	39115	-
b0039	caiA		39244	40386	-
b0040	caiT		40417	41931	-
b0041	fixA		42403	43173	+
b0042	fixB		43188	44129	+
b0043	fixC		44180	45466	+
b0044	fixX		45463	45750	+
b0045	yaaU		45807	47138	+
b0046	kefF		47246	47776	+
b0047	kefC		47769	49631	+
b0048	folA		49823	50302	+
b0049	apaH		50380	51222	-
b0050	apaG		51229	51606	-
b0051	rsmA		51609	52430	-
b0052	pdxA		52427	53416	-
b0053	surA		53416	54702	-
b0054	lptD		54755	57109	-
b0055	djlA		57364	58179	+
b0056	yabP		58474	59124	+
b0057	yabQ		59121	59279	+
b0058	rluA		59687	60346	-
b0059	rapA		60358	63264	-
b0060	polB		63429	65780	-
b0061	araD		65855	66550	-
b0062	araA		66835	68337	-
b0063	araB		68348	70048	-
b0064	araC		70387	71265	+
b0065	yabI		71351	72115	+
b0066	thiQ		72229	72927	-
b0067	thiP		72911	74521	-
b0068	thiB		74497	75480	-
b0069	sgrR		75644	77299	-
b4662	sgrT		77388	77519	+
b0070	setA		77621	78799	+
b0071	leuD		78848	79453	-
b0072	leuC		79464	80864	-
b0073	leuB		80867	81958	-
b0074	leuA		81958	83529	-
b0075	leuL		83622	83708	-
b0076	leuO		84368	85312	+
b4726	yabR		85467	85511	-
b0077	ilvI		85630	87354	+
b0078	ilvH		87357	87848	+
b0080	cra		88028	89032	+
b0081	mraZ		89634	90092	+
b0082	rsmH		90094	91035	+
b0083	ftsL		91032	91397	+
b0084	ftsI		91413	93179	+
b0085	murE		93166	94653	+
b0086	murF		94650	96008	+
b0087	mraY		96002	97084	+
b0088	murD		97087	98403	+
b0089	ftsW		98403	99647	+
b0090	murG		99644	100711	+
b0091	murC		100765	102240	+
b0092	ddlB		102233	103153	+
b0093	ftsQ		103155	103985	+
b0094	ftsA		103982	105244	+
b0095	ftsZ		105305	106456	+
b0096	lpxC		106557	107474	+
b0097	secM		107705	108217	+
b0098	secA		108279	110984	+
b0099	mutT		111044	111433	+
b0101	yacG		111649	111846	-
b0102	zapD		111856	112599	-
b0103	coaE		112599	113219	-
